state,year,driver_gender,driver_race,decriminalization,medical,recreational,no_reforms,search_conducted_false,search_conducted_true,search_conducted_rate,contraband_found_false,contraband_found_true,contraband_found_rate,hit_false,hit_true,hit_rate,num_stops
IL,2005,F,White,0,0,0,1,93479.0,1956.0,0.020495625294703203,94967.0,468.0,0.004903861266830827,1488.0,468.0,0.2392638036809816,95435.0
IL,2005,M,Asian,0,0,0,1,6902.0,223.0,0.03129824561403509,7101.0,24.0,0.0033684210526315787,199.0,24.0,0.10762331838565024,7125.0
IL,2005,M,Black,0,0,0,1,43590.0,5072.0,0.1042291726603921,47726.0,936.0,0.01923472113764333,4136.0,936.0,0.18454258675078866,48662.0
IL,2005,M,Hispanic,0,0,0,1,23719.0,3480.0,0.12794588036324864,26736.0,463.0,0.017022684657524174,3017.0,463.0,0.13304597701149426,27199.0
IL,2005,M,Other,0,0,0,1,616.0,26.0,0.04049844236760125,638.0,4.0,0.006230529595015576,22.0,4.0,0.15384615384615385,642.0
IL,2005,M,White,0,0,0,1,224691.0,8294.0,0.03559885829559843,230963.0,2022.0,0.008678670300663133,6272.0,2022.0,0.2437906920665541,232985.0
IL,2006,F,Asian,0,0,0,1,2214.0,50.0,0.022084805653710248,2254.0,10.0,0.00441696113074205,40.0,10.0,0.2,2264.0
IL,2006,F,Black,0,0,0,1,23105.0,1235.0,0.050739523418241575,24163.0,177.0,0.007271980279375514,1058.0,177.0,0.14331983805668014,24340.0
IL,2006,F,Hispanic,0,0,0,1,5241.0,296.0,0.053458551562217814,5510.0,27.0,0.004876286797905003,269.0,27.0,0.0912162162162162,5537.0
IL,2006,F,Other,0,0,0,1,176.0,7.0,0.03825136612021858,181.0,2.0,0.01092896174863388,5.0,2.0,0.2857142857142857,183.0
IL,2006,F,White,0,0,0,1,95902.0,2106.0,0.02148804179250673,97486.0,522.0,0.0053260958289119255,1584.0,522.0,0.2478632478632479,98008.0
IL,2006,M,Asian,0,0,0,1,7320.0,221.0,0.029306458029439063,7510.0,31.0,0.004110860628563851,190.0,31.0,0.14027149321266968,7541.0
IL,2006,M,Black,0,0,0,1,48587.0,5794.0,0.1065445651974035,53317.0,1064.0,0.019565657122892183,4730.0,1064.0,0.18363824646185709,54381.0
IL,2006,M,Hispanic,0,0,0,1,24054.0,3277.0,0.11990047930920933,26913.0,418.0,0.015293988511214373,2859.0,418.0,0.1275556911809582,27331.0
IL,2006,M,Other,0,0,0,1,610.0,17.0,0.027113237639553433,626.0,1.0,0.001594896331738437,16.0,1.0,0.05882352941176471,627.0
IL,2006,M,White,0,0,0,1,231532.0,7989.0,0.033354069163037896,237607.0,1914.0,0.007990948601583994,6075.0,1914.0,0.23957942170484414,239521.0
IL,2007,F,Asian,0,0,0,1,2541.0,34.0,0.013203883495145629,2574.0,1.0,0.0003883495145631068,33.0,1.0,0.029411764705882356,2575.0
