state,district,precinct,party,candidate,votes
NORTH CAROLINA,1,BUTWD,DEMOCRAT,G K BUTTERFIELD,28
NORTH CAROLINA,1,BUTWD,REPUBLICAN,SANDY SMITH,59
NORTH CAROLINA,1,C1,DEMOCRAT,G K BUTTERFIELD,49
NORTH CAROLINA,1,C1,REPUBLICAN,SANDY SMITH,113
NORTH CAROLINA,1,C2,DEMOCRAT,G K BUTTERFIELD,68
NORTH CAROLINA,1,C2,REPUBLICAN,SANDY SMITH,33
NORTH CAROLINA,1,CAST,DEMOCRAT,G K BUTTERFIELD,211
NORTH CAROLINA,1,CAST,REPUBLICAN,SANDY SMITH,463
NORTH CAROLINA,1,CC,DEMOCRAT,G K BUTTERFIELD,914
NORTH CAROLINA,1,CC,REPUBLICAN,SANDY SMITH,1107
NORTH CAROLINA,1,CM,DEMOCRAT,G K BUTTERFIELD,40
NORTH CAROLINA,1,CM,REPUBLICAN,SANDY SMITH,116
NORTH CAROLINA,1,CO,DEMOCRAT,G K BUTTERFIELD,74
NORTH CAROLINA,1,CO,REPUBLICAN,SANDY SMITH,14
NORTH CAROLINA,1,COMIPE,DEMOCRAT,G K BUTTERFIELD,100
NORTH CAROLINA,1,COMIPE,REPUBLICAN,SANDY SMITH,238
NORTH CAROLINA,1,CONC,DEMOCRAT,G K BUTTERFIELD,55
NORTH CAROLINA,1,CONC,REPUBLICAN,SANDY SMITH,40
NORTH CAROLINA,1,CR,DEMOCRAT,G K BUTTERFIELD,68
NORTH CAROLINA,1,CR,REPUBLICAN,SANDY SMITH,187
NORTH CAROLINA,1,CREEKS,DEMOCRAT,G K BUTTERFIELD,40
NORTH CAROLINA,1,CREEKS,REPUBLICAN,SANDY SMITH,94
NORTH CAROLINA,1,DET OF SOCIAL SERVICES,DEMOCRAT,G K BUTTERFIELD,6023
NORTH CAROLINA,1,DET OF SOCIAL SERVICES,REPUBLICAN,SANDY SMITH,1144
NORTH CAROLINA,1,EH1,DEMOCRAT,G K BUTTERFIELD,1156
NORTH CAROLINA,1,EH1,REPUBLICAN,SANDY SMITH,88
NORTH CAROLINA,1,ENF 2,DEMOCRAT,G K BUTTERFIELD,220
NORTH CAROLINA,1,ENF 2,REPUBLICAN,SANDY SMITH,28
NORTH CAROLINA,1,ENF1,DEMOCRAT,G K BUTTERFIELD,341
NORTH CAROLINA,1,ENF1,REPUBLICAN,SANDY SMITH,81
NORTH CAROLINA,1,FAUCT,DEMOCRAT,G K BUTTERFIELD,55
NORTH CAROLINA,1,FAUCT,REPUBLICAN,SANDY SMITH,174
NORTH CAROLINA,1,GALATI,DEMOCRAT,G K BUTTERFIELD,35
NORTH CAROLINA,1,GALATI,REPUBLICAN,SANDY SMITH,81
NORTH CAROLINA,1,GAPL,DEMOCRAT,G K BUTTERFIELD,225
NORTH CAROLINA,1,GAPL,REPUBLICAN,SANDY SMITH,58
NORTH CAROLINA,1,GASTON,DEMOCRAT,G K BUTTERFIELD,166
NORTH CAROLINA,1,GASTON,REPUBLICAN,SANDY SMITH,101
NORTH CAROLINA,1,GN,DEMOCRAT,G K BUTTERFIELD,134
NORTH CAROLINA,1,GN,REPUBLICAN,SANDY SMITH,184
NORTH CAROLINA,1,GR,DEMOCRAT,G K BUTTERFIELD,70
NORTH CAROLINA,1,GR,REPUBLICAN,SANDY SMITH,394
NORTH CAROLINA,1,HAL,DEMOCRAT,G K BUTTERFIELD,85
NORTH CAROLINA,1,HAL,REPUBLICAN,SANDY SMITH,49
NORTH CAROLINA,1,HM,DEMOCRAT,G K BUTTERFIELD,108
NORTH CAROLINA,1,HM,REPUBLICAN,SANDY SMITH,115
NORTH CAROLINA,1,HOL,DEMOCRAT,G K BUTTERFIELD,268
NORTH CAROLINA,1,HOL,REPUBLICAN,SANDY SMITH,57
NORTH CAROLINA,1,HOOK,DEMOCRAT,G K BUTTERFIELD,272
NORTH CAROLINA,1,HOOK,REPUBLICAN,SANDY SMITH,339
NORTH CAROLINA,1,HPR,DEMOCRAT,G K BUTTERFIELD,93
NORTH CAROLINA,1,HPR,REPUBLICAN,SANDY SMITH,138
NORTH CAROLINA,1,HS,DEMOCRAT,G K BUTTERFIELD,38
NORTH CAROLINA,1,HS,REPUBLICAN,SANDY SMITH,22
NORTH CAROLINA,1,HTOP,DEMOCRAT,G K BUTTERFIELD,353
NORTH CAROLINA,1,HTOP,REPUBLICAN,SANDY SMITH,151
NORTH CAROLINA,1,HV,DEMOCRAT,G K BUTTERFIELD,81
