state,district1,district2,district3,precinct,party,candidate,votes
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 31,DEMOCRAT,ROGER POLACK,430
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 31,REPUBLICAN,BRYAN STEIL,361
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 32,DEMOCRAT,ROGER POLACK,181
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 32,REPUBLICAN,BRYAN STEIL,95
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 33,DEMOCRAT,ROGER POLACK,22
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 33,REPUBLICAN,BRYAN STEIL,3
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 34,DEMOCRAT,ROGER POLACK,216
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 34,REPUBLICAN,BRYAN STEIL,216
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 35,DEMOCRAT,ROGER POLACK,432
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 35,REPUBLICAN,BRYAN STEIL,378
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 36,DEMOCRAT,ROGER POLACK,188
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 36,REPUBLICAN,BRYAN STEIL,67
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 37,DEMOCRAT,ROGER POLACK,439
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 37,REPUBLICAN,BRYAN STEIL,306
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 38,DEMOCRAT,ROGER POLACK,583
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 38,REPUBLICAN,BRYAN STEIL,476
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 39,DEMOCRAT,ROGER POLACK,313
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 39,REPUBLICAN,BRYAN STEIL,338
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 4,DEMOCRAT,ROGER POLACK,467
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 4,REPUBLICAN,BRYAN STEIL,319
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 40,DEMOCRAT,ROGER POLACK,156
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 40,REPUBLICAN,BRYAN STEIL,143
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 41,DEMOCRAT,ROGER POLACK,218
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 41,REPUBLICAN,BRYAN STEIL,238
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 42,DEMOCRAT,ROGER POLACK,229
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 42,REPUBLICAN,BRYAN STEIL,197
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 43,DEMOCRAT,ROGER POLACK,427
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 43,REPUBLICAN,BRYAN STEIL,411
