state,district2010,district2020,precinct,party,candidate,votes
OKLAHOMA,1,1,720093,DEMOCRAT,KOJO ASAMOA-CAESAR,140
OKLAHOMA,1,1,720093,REPUBLICAN,KEVIN HERN,276
OKLAHOMA,1,1,720094,DEMOCRAT,KOJO ASAMOA-CAESAR,200
OKLAHOMA,1,1,720094,REPUBLICAN,KEVIN HERN,418
OKLAHOMA,1,1,720095,DEMOCRAT,KOJO ASAMOA-CAESAR,202
OKLAHOMA,1,1,720095,REPUBLICAN,KEVIN HERN,378
OKLAHOMA,1,1,720096,DEMOCRAT,KOJO ASAMOA-CAESAR,157
OKLAHOMA,1,1,720096,REPUBLICAN,KEVIN HERN,259
OKLAHOMA,1,1,720097,DEMOCRAT,KOJO ASAMOA-CAESAR,333
OKLAHOMA,1,1,720097,REPUBLICAN,KEVIN HERN,394
OKLAHOMA,1,1,720098,DEMOCRAT,KOJO ASAMOA-CAESAR,202
OKLAHOMA,1,1,720098,REPUBLICAN,KEVIN HERN,273
OKLAHOMA,1,1,720099,DEMOCRAT,KOJO ASAMOA-CAESAR,177
OKLAHOMA,1,1,720099,REPUBLICAN,KEVIN HERN,229
OKLAHOMA,1,1,720100,DEMOCRAT,KOJO ASAMOA-CAESAR,101
OKLAHOMA,1,1,720100,REPUBLICAN,KEVIN HERN,143
OKLAHOMA,1,1,720101,DEMOCRAT,KOJO ASAMOA-CAESAR,387
OKLAHOMA,1,1,720101,REPUBLICAN,KEVIN HERN,431
OKLAHOMA,1,1,720102,DEMOCRAT,KOJO ASAMOA-CAESAR,273
OKLAHOMA,1,1,720102,REPUBLICAN,KEVIN HERN,357
OKLAHOMA,1,1,720103,DEMOCRAT,KOJO ASAMOA-CAESAR,175
OKLAHOMA,1,1,720103,REPUBLICAN,KEVIN HERN,304
OKLAHOMA,1,1,720104,DEMOCRAT,KOJO ASAMOA-CAESAR,197
OKLAHOMA,1,1,720104,REPUBLICAN,KEVIN HERN,287
OKLAHOMA,1,1,720105,DEMOCRAT,KOJO ASAMOA-CAESAR,285
OKLAHOMA,1,1,720105,REPUBLICAN,KEVIN HERN,342
OKLAHOMA,1,1,720106,DEMOCRAT,KOJO ASAMOA-CAESAR,224
OKLAHOMA,1,1,720106,REPUBLICAN,KEVIN HERN,348
OKLAHOMA,1,1,720107,DEMOCRAT,KOJO ASAMOA-CAESAR,316
OKLAHOMA,1,1,720107,REPUBLICAN,KEVIN HERN,399
OKLAHOMA,1,1,720108,DEMOCRAT,KOJO ASAMOA-CAESAR,217
OKLAHOMA,1,1,720108,REPUBLICAN,KEVIN HERN,264
OKLAHOMA,1,1,720109,DEMOCRAT,KOJO ASAMOA-CAESAR,165
OKLAHOMA,1,1,720109,REPUBLICAN,KEVIN HERN,198
OKLAHOMA,1,1,720110,DEMOCRAT,KOJO ASAMOA-CAESAR,291
OKLAHOMA,1,1,720110,REPUBLICAN,KEVIN HERN,320
OKLAHOMA,1,1,720111,DEMOCRAT,KOJO ASAMOA-CAESAR,200
OKLAHOMA,1,1,720111,REPUBLICAN,KEVIN HERN,227
OKLAHOMA,1,1,720112,DEMOCRAT,KOJO ASAMOA-CAESAR,290
OKLAHOMA,1,1,720112,REPUBLICAN,KEVIN HERN,306
OKLAHOMA,1,1,720113,DEMOCRAT,KOJO ASAMOA-CAESAR,233
OKLAHOMA,1,1,720113,REPUBLICAN,KEVIN HERN,340
OKLAHOMA,1,1,720114,DEMOCRAT,KOJO ASAMOA-CAESAR,141
OKLAHOMA,1,1,720114,REPUBLICAN,KEVIN HERN,196
OKLAHOMA,1,1,720115,DEMOCRAT,KOJO ASAMOA-CAESAR,99
OKLAHOMA,1,1,720115,REPUBLICAN,KEVIN HERN,341
OKLAHOMA,1,1,720116,DEMOCRAT,KOJO ASAMOA-CAESAR,136
OKLAHOMA,1,1,720116,REPUBLICAN,KEVIN HERN,466
OKLAHOMA,1,1,720117,DEMOCRAT,KOJO ASAMOA-CAESAR,291
OKLAHOMA,1,1,720117,REPUBLICAN,KEVIN HERN,877
OKLAHOMA,1,1,720118,DEMOCRAT,KOJO ASAMOA-CAESAR,250
OKLAHOMA,1,1,720118,REPUBLICAN,KEVIN HERN,833
OKLAHOMA,1,1,720119,DEMOCRAT,KOJO ASAMOA-CAESAR,130
OKLAHOMA,1,1,720119,REPUBLICAN,KEVIN HERN,562
OKLAHOMA,1,1,720120,DEMOCRAT,KOJO ASAMOA-CAESAR,212
OKLAHOMA,1,1,720120,REPUBLICAN,KEVIN HERN,370
OKLAHOMA,1,1,720121,DEMOCRAT,KOJO ASAMOA-CAESAR,277
OKLAHOMA,1,1,720121,REPUBLICAN,KEVIN HERN,419
OKLAHOMA,1,1,720122,DEMOCRAT,KOJO ASAMOA-CAESAR,93
OKLAHOMA,1,1,720122,REPUBLICAN,KEVIN HERN,229
OKLAHOMA,1,1,720123,DEMOCRAT,KOJO ASAMOA-CAESAR,271
OKLAHOMA,1,1,720123,REPUBLICAN,KEVIN HERN,564
OKLAHOMA,1,1,720124,DEMOCRAT,KOJO ASAMOA-CAESAR,164
OKLAHOMA,1,1,720124,REPUBLICAN,KEVIN HERN,488
OKLAHOMA,1,1,720125,DEMOCRAT,KOJO ASAMOA-CAESAR,203
OKLAHOMA,1,1,720125,REPUBLICAN,KEVIN HERN,427
OKLAHOMA,1,1,720126,DEMOCRAT,KOJO ASAMOA-CAESAR,189
OKLAHOMA,1,1,720126,REPUBLICAN,KEVIN HERN,479
OKLAHOMA,1,1,720127,DEMOCRAT,KOJO ASAMOA-CAESAR,131
OKLAHOMA,1,1,720127,REPUBLICAN,KEVIN HERN,300
OKLAHOMA,1,1,720128,DEMOCRAT,KOJO ASAMOA-CAESAR,315
OKLAHOMA,1,1,720128,REPUBLICAN,KEVIN HERN,489
OKLAHOMA,1,1,720129,DEMOCRAT,KOJO ASAMOA-CAESAR,213
OKLAHOMA,1,1,720129,REPUBLICAN,KEVIN HERN,438
OKLAHOMA,1,1,720130,DEMOCRAT,KOJO ASAMOA-CAESAR,266
OKLAHOMA,1,1,720130,REPUBLICAN,KEVIN HERN,433
OKLAHOMA,1,1,720131,DEMOCRAT,KOJO ASAMOA-CAESAR,123
OKLAHOMA,1,1,720131,REPUBLICAN,KEVIN HERN,87
OKLAHOMA,1,1,720132,DEMOCRAT,KOJO ASAMOA-CAESAR,198
OKLAHOMA,1,1,720132,REPUBLICAN,KEVIN HERN,477
OKLAHOMA,1,1,720133,DEMOCRAT,KOJO ASAMOA-CAESAR,212
OKLAHOMA,1,1,720133,REPUBLICAN,KEVIN HERN,458
OKLAHOMA,1,1,720134,DEMOCRAT,KOJO ASAMOA-CAESAR,227
OKLAHOMA,1,1,720134,REPUBLICAN,KEVIN HERN,532
OKLAHOMA,1,1,720135,DEMOCRAT,KOJO ASAMOA-CAESAR,326
OKLAHOMA,1,1,720135,REPUBLICAN,KEVIN HERN,815
OKLAHOMA,1,1,720136,DEMOCRAT,KOJO ASAMOA-CAESAR,170
OKLAHOMA,1,1,720136,REPUBLICAN,KEVIN HERN,560
OKLAHOMA,1,1,720137,DEMOCRAT,KOJO ASAMOA-CAESAR,228
OKLAHOMA,1,1,720137,REPUBLICAN,KEVIN HERN,275
OKLAHOMA,1,1,720138,DEMOCRAT,KOJO ASAMOA-CAESAR,53
OKLAHOMA,1,1,720138,REPUBLICAN,KEVIN HERN,66
OKLAHOMA,1,1,720139,DEMOCRAT,KOJO ASAMOA-CAESAR,250
OKLAHOMA,1,1,720139,REPUBLICAN,KEVIN HERN,152
OKLAHOMA,1,1,720140,DEMOCRAT,KOJO ASAMOA-CAESAR,217
OKLAHOMA,1,1,720140,REPUBLICAN,KEVIN HERN,97
OKLAHOMA,1,1,720141,DEMOCRAT,KOJO ASAMOA-CAESAR,250
