Year,Month,UnemploymentRate,CPI,Open,High,Low,Close,AdjClose,Volume
2023,5,3.7,4.00%,12210.04981,13154.29004,11925.37012,12935.29004,12935.29004,1.01E+11
2023,6,3.6,3.00%,12944.45996,13864.05957,12903.62988,13787.91992,13787.91992,1.08E+11
2023,7,3.5,3.20%,13798.7002,14446.54981,13567.25,14346.01953,14346.01953,96983440000
2023,8,3.8,3.70%,14274.92969,14309.20996,13161.75977,14034.96973,14034.96973,1.11E+11
2023,9,3.8,3.70%,14129.95996,14149.62012,12963.16016,13219.32031,13219.32031,94727650000
2023,10,3.8,3.20%,13217.98047,13714.13965,12543.86035,12851.24023,12851.24023,97818540000
2023,11,3.7,3.10%,12887.05957,14423.21973,12875.2002,14226.21973,14226.21973,95884580000
2023,12,3.7,3.40%,14181.34961,15150.07031,14058.51953,15011.34961,15011.34961,1.20E+11
2024,1,3.7,3.10%,14873.7002,15630.58008,14477.57031,15164.00977,15164.00977,1.11E+11
2024,2,3.9,3.20%,15254.01953,16134.21973,15208.87988,16091.91992,16091.91992,1.07E+11
