exporter,importer,sector,industry,year,trade
CHL,CHL,1,2,2017,38.412
USA,CHL,1,2,2017,1.024
BRA,CHL,1,2,2017,2.398
ARG,CHL,1,2,2017,45.785
COL,CHL,1,2,2018,0.0
ARG,CHL,1,2,2018,46.822
CHL,CHL,1,2,2018,52.044
BRA,CHL,1,2,2018,3.875
USA,CHL,1,2,2018,1.177
PER,CHL,1,2,2018,0.027
ARG,CHL,1,2,2019,43.913
USA,CHL,1,2,2019,1.119
CHL,CHL,1,2,2019,43.883
BRA,CHL,1,2,2019,1.397
PER,CHL,1,2,2019,0.02
USA,COL,1,2,2010,5.847
PER,COL,1,2,2010,0.011
COL,COL,1,2,2010,871.384
BRA,COL,1,2,2011,4.062
COL,COL,1,2,2011,1014.146
PER,COL,1,2,2011,0.45
CHL,COL,1,2,2011,0.0
ARG,COL,1,2,2011,0.004
USA,COL,1,2,2011,1.589
BRA,COL,1,2,2012,0.934
PER,COL,1,2,2012,7.527
COL,COL,1,2,2012,1242.513
USA,COL,1,2,2012,75.727
COL,COL,1,2,2013,963.477
PER,COL,1,2,2013,27.155
BRA,COL,1,2,2013,0.302
ARG,COL,1,2,2013,0.002
USA,COL,1,2,2013,73.704
COL,COL,1,2,2014,1006.303
USA,COL,1,2,2014,82.154
BRA,COL,1,2,2014,0.722
USA,COL,1,2,2015,186.028
COL,COL,1,2,2015,1094.104
MEX,COL,1,2,2015,0.0
ARG,COL,1,2,2016,23.712
MEX,COL,1,2,2016,0.0
USA,COL,1,2,2016,76.104
COL,COL,1,2,2016,1168.151
PER,COL,1,2,2016,5.872
USA,COL,1,2,2017,91.362
MEX,COL,1,2,2017,3.269
COL,COL,1,2,2017,1325.392
USA,COL,1,2,2018,102.371
COL,COL,1,2,2018,1207.157
BRA,COL,1,2,2018,0.002
USA,COL,1,2,2019,123.895
PER,COL,1,2,2019,20.508
BRA,COL,1,2,2019,0.0
MEX,MEX,1,2,2010,54.41
ARG,MEX,1,2,2010,0.025
USA,MEX,1,2,2010,592.119
MEX,MEX,1,2,2011,52.592
ARG,MEX,1,2,2011,0.06
USA,MEX,1,2,2011,638.325
MEX,MEX,1,2,2012,51.249
ARG,MEX,1,2,2012,0.576
USA,MEX,1,2,2012,614.888
COL,MEX,1,2,2012,0.0
MEX,MEX,1,2,2013,55.095
USA,MEX,1,2,2013,693.693
MEX,MEX,1,2,2014,69.306
USA,MEX,1,2,2014,550.486
COL,MEX,1,2,2014,0.0
BRA,MEX,1,2,2014,0.036
ARG,MEX,1,2,2015,0.026
MEX,MEX,1,2,2015,53.464
USA,MEX,1,2,2015,465.71
BRA,MEX,1,2,2015,0.023
MEX,MEX,1,2,2016,52.282
ARG,MEX,1,2,2016,7.665
USA,MEX,1,2,2016,483.161
BRA,MEX,1,2,2016,0.057
MEX,MEX,1,2,2017,57.806
USA,MEX,1,2,2017,517.2660000000001
CAN,MEX,1,2,2017,0.0
ARG,MEX,1,2,2017,2.856
ARG,MEX,1,2,2018,16.193
MEX,MEX,1,2,2018,51.537
USA,MEX,1,2,2018,497.733
ARG,MEX,1,2,2019,4.317
USA,MEX,1,2,2019,707.914
